2.000110626220703125e+01 1.419317871093750000e+03 1.989919781684875488e+00 1.086123335558750665e+27 2.003540992736816406e+01
9.419130325317382812e+00 1.058055419921875000e+03 3.569471836090087891e+00 4.913673090865556694e+27 2.170237731933593750e+01
2.000260114669799805e+00 9.853795166015625000e+02 9.765686392784118652e-01 9.559399402640994897e+26 1.902515029907226562e+01
7.038930892944335938e+00 1.393363525390625000e+03 7.320392727851867676e-01 1.082499392773598636e+22 6.981768131256103516e+00
3.454115390777587891e-01 7.248211669921875000e+02 1.077114120125770569e-01 6.051967353377975907e+22 6.216354370117187500e+00
6.895268440246582031e+00 1.121843017578125000e+03 1.873725700378417969e+01 3.901043667746199647e+22 5.631066799163818359e+00
2.530041337013244629e-01 1.456052246093750000e+03 7.180820941925048828e+00 2.458157775030313720e+26 2.088248825073242188e+01
1.209571480751037598e+00 5.982410888671875000e+02 3.251705467700958252e-01 1.789970083417211221e+23 5.681499958038330078e+00
1.140609550476074219e+01 5.008962097167968750e+02 2.177062034606933594e+00 1.956436542768834615e+25 9.816193580627441406e+00
4.066470623016357422e+00 1.536599121093750000e+02 7.392477989196777344e-02 5.702425782547175157e+23 4.805251121520996094e+00
1.292103826999664307e-01 8.893193359375000000e+02 1.526521146297454834e-01 3.076737893409565232e+22 8.349666595458984375e+00
2.576397657394409180e-01 7.823791503906250000e+02 4.671779647469520569e-02 4.558170860948051888e+24 1.218206119537353516e+01
2.781125605106353760e-01 2.054942016601562500e+02 2.040219783782958984e+00 1.438871257907258301e+24 7.202479362487792969e+00
6.958132386207580566e-01 8.350483398437500000e+02 2.441643218994140625e+02 1.058169457795786482e+25 9.702835083007812500e+00
1.336707323789596558e-01 4.131788940429687500e+02 1.746453344821929932e-02 1.147098789839980556e+26 2.065169525146484375e+01
1.388001441955566406e+00 2.772074279785156250e+02 1.279826998710632324e+00 1.801326144064806550e+24 6.426547050476074219e+00
3.361374139785766602e+00 9.191636352539062500e+02 9.569848632812500000e+01 1.887431894098477647e+27 1.809850692749023438e+01
2.557881593704223633e+00 6.022169799804687500e+02 3.365765686035156250e+02 4.275878030545065406e+24 7.364366531372070312e+00
1.165104484558105469e+01 1.157872192382812500e+03 1.855328321456909180e+00 2.565207401424187917e+24 9.913743972778320312e+00
3.735550642013549805e+00 9.072874755859375000e+02 1.513735198974609375e+02 5.476468660026951304e+23 6.313292026519775391e+00
5.377877712249755859e+00 1.270259033203125000e+03 8.075225830078125000e+00 1.188681809265818101e+26 1.487959384918212891e+01
6.111573219299316406e+00 1.868646850585937500e+02 3.931260070800781250e+02 9.959370377616880039e+25 9.720694541931152344e+00
3.265044987201690674e-01 1.331355712890625000e+03 6.935382080078125000e+01 4.456544750250073990e+25 1.490277481079101562e+01
7.781746387481689453e-01 8.369844360351562500e+02 5.538549804687500000e+02 9.158863196368261203e+24 9.187663078308105469e+00
4.874911308288574219e+00 1.248269042968750000e+03 1.071317520141601562e+02 9.620427134994929681e+26 1.715409088134765625e+01
6.789798736572265625e-01 1.016290039062500000e+03 9.022710919380187988e-01 4.791835814246590963e+26 1.880987548828125000e+01
2.579160690307617188e+00 1.405478881835937500e+03 8.699300765991210938e+00 7.045717075522768017e+27 2.351701736450195312e+01
